id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,loan_status,age,credit_age
79205,6000.0,MORTGAGE,48000.0,5.58,0.1433,0,0,OVER_FORTY,10641
80878,15625.0,RENT,36000.0,23.47,0.1629,0,1,OVER_FORTY,7353
74910,14400.0,OWN,40000.0,19.65,0.1433,0,0,OVER_FORTY,5771
71533,8325.0,OWN,24000.0,18.65,0.1522,0,1,UNDER_FORTY,4645
74973,9600.0,RENT,52266.97,19.45,0.1235,0,0,OVER_FORTY,7202
81488,16000.0,MORTGAGE,40000.0,33.74,0.079,0,0,UNDER_FORTY,7872
106989,6000.0,RENT,45123.0,28.43,0.1433,0,0,UNDER_FORTY,7353
95228,4000.0,RENT,16836.0,32.29,0.1777,0,1,UNDER_FORTY,8875
100567,11325.0,RENT,58000.0,20.34,0.1727,0,0,OVER_FORTY,7383
93891,9600.0,RENT,60000.0,18.31,0.1311,0,1,UNDER_FORTY,6288
89959,10000.0,MORTGAGE,115000.0,8.94,0.0762,0,0,UNDER_FORTY,9241
88404,15000.0,MORTGAGE,89000.0,0.03,0.0603,0,0,UNDER_FORTY,7141
91774,2500.0,RENT,31000.0,13.66,0.1311,0,0,UNDER_FORTY,13746
89377,28000.0,MORTGAGE,195000.0,2.44,0.079,0,0,OVER_FORTY,11950
90038,2500.0,MORTGAGE,103000.0,15.13,0.1212,0,0,UNDER_FORTY,9180
69794,9500.0,MORTGAGE,76000.0,25.74,0.1064,0,0,OVER_FORTY,8418
76185,7550.0,RENT,38000.0,15.13,0.1305,0,0,UNDER_FORTY,5861
83847,9000.0,MORTGAGE,44100.0,21.63,0.1212,0,0,OVER_FORTY,13928
83020,12575.0,MORTGAGE,48000.0,22.48,0.1212,0,0,UNDER_FORTY,7780
102935,5000.0,RENT,30000.0,8.64,0.1114,0,0,UNDER_FORTY,6258
81278,2400.0,MORTGAGE,40000.0,3.99,0.1531,0,0,UNDER_FORTY,10032
103261,16000.0,MORTGAGE,56508.0,5.37,0.1311,0,0,OVER_FORTY,9210
74668,10000.0,RENT,38000.0,3.22,0.2115,0,0,UNDER_FORTY,7383
83008,4200.0,MORTGAGE,110000.0,17.89,0.1875,0,0,UNDER_FORTY,5465
90304,10400.0,RENT,49000.0,32.47,0.1905,0,1,UNDER_FORTY,6136
76435,21000.0,MORTGAGE,82877.0,30.98,0.1235,0,0,OVER_FORTY,11554
78956,20000.0,RENT,130000.0,13.95,0.2031,0,1,UNDER_FORTY,13624
79057,12000.0,MORTGAGE,50000.0,8.59,0.1064,0,0,UNDER_FORTY,8875
86415,24000.0,RENT,72000.0,11.7,0.1212,0,0,OVER_FORTY,13319
107473,20000.0,MORTGAGE,75000.0,21.06,0.1433,0,0,UNDER_FORTY,8175
85259,15000.0,MORTGAGE,62000.0,6.04,0.0662,0,0,OVER_FORTY,7719
87308,22750.0,MORTGAGE,84000.0,23.1,0.079,0,0,UNDER_FORTY,9483
100514,7250.0,RENT,36000.0,28.67,0.089,0,0,UNDER_FORTY,6014
91675,12000.0,MORTGAGE,60000.0,6.42,0.0603,0,0,UNDER_FORTY,15542
87736,7000.0,RENT,52000.0,10.68,0.1849,0,0,UNDER_FORTY,4888
76925,9750.0,RENT,30000.0,24.44,0.1155,0,0,UNDER_FORTY,9545
97992,10200.0,MORTGAGE,92000.0,24.56,0.1311,0,1,OVER_FORTY,11371
74515,10000.0,MORTGAGE,150000.0,6.82,0.1368,0,0,OVER_FORTY,8936
92978,2600.0,MORTGAGE,70000.0,25.81,0.1409,0,1,OVER_FORTY,7110
95788,10000.0,RENT,55992.0,12.64,0.1016,0,0,UNDER_FORTY,6806
89644,16000.0,RENT,133000.0,19.27,0.1875,0,0,UNDER_FORTY,6319
96357,12325.0,MORTGAGE,36000.0,14.93,0.1114,0,0,OVER_FORTY,9698
75089,24000.0,MORTGAGE,135000.0,16.57,0.1433,0,0,OVER_FORTY,15238
90629,22000.0,MORTGAGE,95000.0,29.47,0.0662,0,0,UNDER_FORTY,8449
86118,7200.0,RENT,48000.0,20.75,0.158,0,1,OVER_FORTY,6684
90670,12000.0,MORTGAGE,245000.0,10.68,0.1433,0,0,OVER_FORTY,11097
75674,3500.0,MORTGAGE,85000.0,7.21,0.1064,0,0,UNDER_FORTY,7141
107687,10000.0,MORTGAGE,35000.0,32.23,0.1114,0,0,UNDER_FORTY,5680
73880,6800.0,MORTGAGE,45000.0,18.4,0.1368,0,0,UNDER_FORTY,14142
100948,30000.0,MORTGAGE,152000.0,12.64,0.1114,0,0,OVER_FORTY,11097
85023,16000.0,MORTGAGE,212000.0,11.34,0.0662,0,0,OVER_FORTY,11340
73640,8000.0,RENT,65000.0,9.16,0.1522,0,1,UNDER_FORTY,6319
88400,21000.0,MORTGAGE,225000.0,17.87,0.1212,0,0,UNDER_FORTY,9149
102313,24500.0,MORTGAGE,103000.0,11.99,0.1114,0,0,UNDER_FORTY,8602
111867,6000.0,RENT,28000.0,16.5,0.2247,0,0,UNDER_FORTY,5223
84074,17475.0,MORTGAGE,39520.0,21.04,0.1212,0,0,UNDER_FORTY,5983
94129,10475.0,RENT,103380.0,0.65,0.1777,0,0,UNDER_FORTY,5680
74486,16000.0,MORTGAGE,71000.0,2.84,0.0662,0,0,UNDER_FORTY,5253
108726,8500.0,OWN,43500.0,14.59,0.1212,0,1,UNDER_FORTY,5771
71791,15000.0,MORTGAGE,85000.0,27.82,0.1305,0,1,OVER_FORTY,8479
76939,9575.0,MORTGAGE,37200.0,24.0,0.0971,0,1,OVER_FORTY,8724
110113,21200.0,MORTGAGE,115000.0,15.9,0.089,0,0,UNDER_FORTY,6714
77630,10000.0,MORTGAGE,30000.0,15.16,0.0603,0,0,UNDER_FORTY,11674
96345,10000.0,MORTGAGE,56000.0,25.01,0.1875,0,0,UNDER_FORTY,7628
69775,5950.0,MORTGAGE,48100.0,23.41,0.1678,0,0,UNDER_FORTY,7475
103417,8500.0,MORTGAGE,52000.0,17.4,0.1849,0,0,OVER_FORTY,10794
103257,30000.0,MORTGAGE,160000.0,22.55,0.1114,0,0,OVER_FORTY,17794
84836,14100.0,MORTGAGE,40000.0,9.57,0.089,0,0,OVER_FORTY,11827
94215,6075.0,RENT,22000.0,8.13,0.1016,0,0,UNDER_FORTY,5406
102996,12300.0,MORTGAGE,68000.0,16.66,0.1531,0,0,UNDER_FORTY,7444
85885,11700.0,RENT,54000.0,2.69,0.1114,0,1,OVER_FORTY,8298
72361,12000.0,MORTGAGE,42000.0,32.06,0.1885,0,0,UNDER_FORTY,4888
108867,8500.0,RENT,36000.0,6.07,0.1433,0,0,OVER_FORTY,5649
105668,6000.0,RENT,42000.0,3.89,0.1875,0,1,UNDER_FORTY,5861
86804,2000.0,RENT,43000.0,23.3,0.1114,0,0,OVER_FORTY,9514
89786,8400.0,RENT,36000.0,27.1,0.089,0,0,UNDER_FORTY,12071
88743,8000.0,OWN,39000.0,23.2,0.1972,0,0,UNDER_FORTY,6106
102276,3075.0,RENT,19128.0,15.31,0.1433,0,0,UNDER_FORTY,8724
71596,28000.0,MORTGAGE,105000.0,12.35,0.079,0,0,UNDER_FORTY,16880
94594,18000.0,MORTGAGE,43000.0,20.06,0.089,0,0,OVER_FORTY,11432
108875,28000.0,MORTGAGE,91000.0,18.45,0.089,0,0,OVER_FORTY,9241
110314,16000.0,RENT,72100.0,6.51,0.1777,0,1,UNDER_FORTY,7202
